用煤量(萬噸),SO2(ppm),NOX(ppm),OP(%)
4.2373,17.26,39.84,13.53
4.5686,13.4,36.25,13.11
4.6794,12.89,36.68,13.25
4.6727,12.3,35.56,13.21
4.8991,17.06,38.84,12.96
4.7881,19.01,39.41,13.33
4.499,14.06,37.65,12.38
4.3767,13.38,39.22,12.85
4.8565,12.98,38.51,13.61
5.0082,18.4,38.96,12.82
4.6155,14.38,37.71,12.51
4.3898,15.48,38.13,13.65
4.7474,17.75,38.78,13.2
4.4274,10.71,37.24,14.47
4.7885,12.91,37.2,13.18
4.9307,14.99,37.48,13.4
4.7686,15.32,37.33,13.13
4.6053,17.5,37.56,13.44
4.7751,20.3,38.84,12.97
4.4302,17.58,39.04,13.47
3.8681,14.99,37.21,12.5
4.2607,13.88,37.72,12.63
4.3189,13.89,38.06,12.64
4.7862,12.66,38.89,13.31
4.2407,13.28,38.51,12.51
4.1557,13.1,35.62,12.02
4.26,17.9,37.95,13.13
3.9693,14.53,37.01,12.41
4.0616,13.54,36.15,12.43
4.7212,12.83,39.16,12.88
4.9218,13.99,35.83,13.19
5.0081,15.29,35.95,13.26
4.9484,16.52,37.49,13.26
4.6391,14.34,35.02,13.16
4.6827,14.45,37.1,13.33
5.0465,15.12,34.53,13.21
4.5928,18.56,32.74,13.59
4.5345,17.63,34.45,13.18
4.8163,8.25,34.23,13.02
4.6203,17.87,30.82,13.41
4.4793,18.63,37.43,13.13
4.6123,18.57,37.29,13.51
4.6677,17.64,37.21,14.29
4.5994,14.56,37.08,13.93
4.7036,14.29,35.66,13.66
4.0498,14.55,36.76,13.64
3.6175,13.65,37.96,13.38
2.9136,12.82,34.98,12.48
3.0376,17.93,37.17,12.48
3.8295,12.98,34.19,13.09
3.4218,15.96,36.62,13.05
3.6363,15.12,36.73,13.01
3.8146,16.55,33.33,13.04
3.638,17.39,33.03,13.6
3.5195,16.73,34,13.02
3.9979,13.73,33.26,12.96
4.6243,17.91,35.06,14.24
4.6492,16.01,34.92,14.38
4.6048,15.57,35.13,13.78
4.4021,15.32,34.8,13.87
3.9442,15.79,34.72,15.15
3.3135,12.23,31.82,12.59
3.2298,16.54,31.6,12.93
4.0578,17.36,37.14,13.8
4.3476,13.1,35.1,14.15
4.0383,12.1,34.05,13.48
4.059,13.22,33.92,13.24
3.9074,12.02,36.58,14.22
3.5652,16.63,35.57,13.66
3.4189,15.54,34.9,12.76
4.1827,11.97,40.07,14.43
4.1272,20.52,32.15,14.45
4.0781,15.32,33.77,13.46
3.9503,15.81,31.92,13.97
4.1554,16.25,33.05,13.52
3.9616,16.11,34.32,13.59
3.5577,13.17,32.46,12.99
3.8188,12.56,33.91,13.08
4.5048,13.33,34.93,13.46
4.2928,15.76,34.66,13.9
4.4292,15.27,34.84,14.63
4.3212,11.47,33.91,13.38
4.4536,12.18,34.42,13.43
4.048,15.61,33.89,14.62
3.4329,12.76,34.22,13.24
3.553,12.7,30.46,13.49
4.6558,13.4,34.08,13.54
4.385,12.6,34.24,13.35
3.8986,13.37,32.09,13.27
3.5689,11.06,32.01,13.33
3.3636,12.8,31.59,13.05
3.016,12.34,31.93,13.16
3.2184,9.65,34.46,13.24
3.2015,13.35,32.54,13.44
3.4306,13.57,36.79,13.53
3.7896,15.01,34.81,13.56
3.5951,15.83,34,13.42
3.7969,14.06,34.85,13.3
4.2468,12.63,33.2,14.53
4.508,16.18,33.32,14.07
4.4586,16.33,35.48,15.37
4.6801,12.49,31.74,14.29
4.6134,12.05,31.93,14.28
4.2937,12.78,32.18,13.34
4.2151,11.13,32.04,13.34
4.3332,12.49,32.3,13.67
4.5395,12.56,33.62,14.63
4.3432,13.94,33.99,13.82
4.1729,14.74,33.23,14.9
3.8869,13.45,30.69,13.07
3.5273,16.46,35.8,13.34
2.8796,11.87,33.24,12.83
3.2872,10.25,35.5,14.45
2.4706,13.49,30.12,13.48
2.8737,14.2,31.15,13.86
2.5003,13.52,32.45,13.89
3.418,13.98,32.94,13.42
2.9951,14.98,33.99,13.48
2.7733,11.5,33.56,13.64
2.2052,11.9,29.71,13.34
2.4281,11.9,30.43,13.16
2.4218,11.37,27.95,13.3
2.2503,14.96,24.08,12.81
2.1347,16.46,31.23,12.84
2.2129,15.56,33.36,12.91
2.181,15.48,33.66,12.77
2.6431,14.03,30.56,12.88
2.4158,14.22,32.04,13.18
2.9224,14.2,33.47,13.15
3.1072,12.84,34.32,12.97
3.0324,12.74,33.81,14.23
2.1221,12.68,32.75,16.33
2.1252,11.45,31.99,12.92
2.6882,9.38,28.95,12.66
3.205,10.77,30.19,13.45
2.9725,15.34,27.98,13.47
2.7642,12.16,29.2,13.15
2.6191,9.84,30.03,12.95
2.2586,11.62,28.68,12.6
2.1869,9.19,29.15,12.63
2.2796,9.48,29.96,12.8
2.1767,10.91,30.12,12.62
2.6616,11.3,30.49,12.58
3.1631,12,31.58,12.9
2.9943,11.75,30.94,12.63
3.0819,13.12,31.42,12.65
3.0415,12.13,29.07,12.7
3.4179,7.34,26.39,12.93
3.3468,11.41,30.98,12.83
3.3942,12.62,32.25,12.35
3.4997,10.76,33.47,12.92
3.6866,13.1,32.87,12.44
2.5426,12.23,32.73,12.18
2.3181,13.8,31.39,12.23
2.2399,10.98,31.82,12.38
2.4241,13.43,31.18,12.42
2.1971,10.49,32.33,12.21
3.154,11.63,32.48,12.85
2.4926,12.07,31.54,12.38
2.4642,8.71,32.12,12.38
2.2327,9.57,25.93,13.03
2.5825,9.87,31.97,12.4
2.8243,12.17,28.38,11.95
3.2415,11.1,31.12,12.55
3.2418,11.09,31.75,12.16
2.524,10.71,32.31,11.98
2.4328,11.47,29.41,11.84
2.4672,13.56,29.16,11.81
2.9734,13.77,29.38,11.94
2.7595,10.73,28.4,11.9
3.614,13.04,32.24,13.18
2.7848,13.87,30.31,12.33
2.2374,12.95,30.95,11.99
1.8732,13.69,30.65,12.09
2.268,12.85,30.73,12.22
2.5541,12.73,29.12,13.29
3.1635,8.54,31.79,13.12
