"電廠","日期","用煤量(萬噸)","SO2(ppm)","NOX(ppm)","OP(%)","西屯AQI","沙鹿AQI","線西AQI"
"台中電廠      ","2023/10/06","3.418","13.98","32.94","13.42","54        ","53        ","54        "
"台中電廠      ","2023/10/07","2.9951","14.98","33.99","13.48","53        ","46        ","15        "
"台中電廠      ","2023/10/08","2.7733","11.5","33.56","13.64","14        ","12        ","-         "
"台中電廠      ","2023/10/09","2.2052","11.9","29.71","13.34","15        ","6         ","-         "
"台中電廠      ","2023/10/10","2.4281","11.9","30.43","13.16","12        ","4         ","1         "
"台中電廠      ","2023/10/11","2.4218","11.37","27.95","13.3","29        ","16        ","11        "
"台中電廠      ","2023/10/12","2.2503","14.96","24.08","12.81","31        ","16        ","6         "
"台中電廠      ","2023/10/13","2.1347","16.46","31.23","12.84","45        ","26        ","19        "
"台中電廠      ","2023/10/14","2.2129","15.56","33.36","12.91","35        ","24        ","8         "
"台中電廠      ","2023/10/15","2.181","15.48","33.66","12.77","58        ","51        ","42        "
"台中電廠      ","2023/10/16","2.6431","14.03","30.56","12.88","67        ","60        ","57        "
"台中電廠      ","2023/10/17","2.4158","14.22","32.04","13.18","79        ","64        ","54        "
"台中電廠      ","2023/10/18","2.9224","14.2","33.47","13.15","135       ","131       ","106       "
"台中電廠      ","2023/10/19","3.1072","12.84","34.32","12.97","126       ","111       ","93        "
"台中電廠      ","2023/10/20","3.0324","12.74","33.81","14.23","109       ","94        ","85        "
"台中電廠      ","2023/10/21","2.1221","12.68","32.75","16.33","16        ","9         ","-         "
"台中電廠      ","2023/10/22","2.1252","11.45","31.99","12.92","-         ","-         ","-         "
"台中電廠      ","2023/10/23","2.6882","9.38","28.95","12.66","-         ","-         ","-         "
"台中電廠      ","2023/10/24","3.205","10.77","30.19","13.45","-         ","-         ","-         "
"台中電廠      ","2023/10/25","2.9725","15.34","27.98","13.47","79        ","52        ","33        "
"台中電廠      ","2023/10/26","2.7642","12.16","29.2","13.15","65        ","63        ","49        "
"台中電廠      ","2023/10/27","2.6191","9.84","30.03","12.95","131       ","97        ","72        "
"台中電廠      ","2023/10/28","2.2586","11.62","28.68","12.6","73        ","44        ","36        "
"台中電廠      ","2023/10/29","2.1869","9.19","29.15","12.63","78        ","41        ","21        "
"台中電廠      ","2023/10/30","2.2796","9.48","29.96","12.8","37        ","23        ","5         "
"台中電廠      ","2023/10/31","2.1767","10.91","30.12","12.62","36        ","20        ","8         "
"台中電廠      ","2023/11/01","2.6616","11.3","30.49","12.58","59        ","31        ","38        "
"台中電廠      ","2023/11/02","3.1631","12","31.58","12.9","79        ","78        ","59        "
"台中電廠      ","2023/11/03","2.9943","11.75","30.94","12.63","65        ","51        ","45        "
"台中電廠      ","2023/11/04","3.0819","13.12","31.42","12.65","69        ","69        ","70        "
"台中電廠      ","2023/11/05","3.0415","12.13","29.07","12.7","79        ","55        ","57        "
"台中電廠      ","2023/11/06","3.4179","7.34","26.39","12.93","77        ","54        ","46        "
"台中電廠      ","2023/11/07","3.3468","11.41","30.98","12.83","49        ","36        ","33        "
"台中電廠      ","2023/11/08","3.3942","12.62","32.25","12.35","80        ","67        ","61        "
"台中電廠      ","2023/11/09","3.4997","10.76","33.47","12.92","118       ","87        ","85        "
"台中電廠      ","2023/11/10","3.6866","13.1","32.87","12.44","107       ","72        ","72        "
"台中電廠      ","2023/11/11","2.5426","12.23","32.73","12.18","28        ","4         ","3         "
"台中電廠      ","2023/11/12","2.3181","13.8","31.39","12.23","23        ","10        ","6         "
"台中電廠      ","2023/11/13","2.2399","10.98","31.82","12.38","34        ","20        ","17        "
"台中電廠      ","2023/11/14","2.4241","13.43","31.18","12.42","47        ","18        ","5         "
"台中電廠      ","2023/11/15","2.1971","10.49","32.33","12.21","43        ","11        ","-         "
"台中電廠      ","2023/11/16","3.154","11.63","32.48","12.85","67        ","41        ","-         "
"台中電廠      ","2023/11/17","2.4926","12.07","31.54","12.38","99        ","48        ","-         "
"台中電廠      ","2023/11/18","2.4642","8.71","32.12","12.38","57        ","62        ","52        "
"台中電廠      ","2023/11/19","2.2327","9.57","25.93","13.03","66        ","52        ","53        "
"台中電廠      ","2023/11/20","2.5825","9.87","31.97","12.4","72        ","63        ","60        "
"台中電廠      ","2023/11/21","2.8243","12.17","28.38","11.95","90        ","76        ","82        "
"台中電廠      ","2023/11/22","3.2415","11.1","31.12","12.55","80        ","87        ","62        "
"台中電廠      ","2023/11/23","3.2418","11.09","31.75","12.16","100       ","68        ","88        "
"台中電廠      ","2023/11/24","2.524","10.71","32.31","11.98","54        ","48        ","56        "
"台中電廠      ","2023/11/25","2.4328","11.47","29.41","11.84","63        ","40        ","47        "
"台中電廠      ","2023/11/26","2.4672","13.56","29.16","11.81","31        ","26        ","27        "
"台中電廠      ","2023/11/27","2.9734","13.77","29.38","11.94","54        ","30        ","37        "
"台中電廠      ","2023/11/28","2.7595","10.73","28.4","11.9","56        ","56        ","55        "
"台中電廠      ","2023/11/29","3.614","13.04","32.24","13.18","109       ","99        ","120       "
"台中電廠      ","2023/11/30","2.7848","13.87","30.31","12.33","45        ","38        ","46        "
"台中電廠      ","2023/12/01","2.2374","12.95","30.95","11.99","29        ","23        ","28        "
"台中電廠      ","2023/12/02","1.8732","13.69","30.65","12.09","36        ","32        ","37        "
"台中電廠      ","2023/12/03","2.268","12.85","30.73","12.22","39        ","31        ","19        "
"台中電廠      ","2023/12/04","2.5541","12.73","29.12","13.29","36        ","12        ","18        "
"台中電廠      ","2023/12/05","3.1635","8.54","31.79","13.12","29        ","15        ","21        "
