"電廠","日期","用煤量(萬噸)","SO2(ppm)","NOX(ppm)","OP(%)","西屯AQI","沙鹿AQI","線西AQI"
"台中電廠      ","2023/02/13","2.5026","21.09","35.59","12.63","81        ","71        ","101       "
"台中電廠      ","2023/02/14","2.4206","20.29","35.59","12.59","30        ","29        ","31        "
"台中電廠      ","2023/02/15","2.332","18.32","35.39","12.73","40        ","42        ","46        "
"台中電廠      ","2023/02/16","2.2941","19.17","34.35","12.76","29        ","26        ","39        "
"台中電廠      ","2023/02/17","2.8715","15.77","35.53","12.62","66        ","52        ","64        "
"台中電廠      ","2023/02/18","2.5675","17","35.11","12.53","94        ","95        ","112       "
"台中電廠      ","2023/02/19","2.5273","15.69","32.58","12.55","92        ","74        ","96        "
"台中電廠      ","2023/02/20","1.968","16.35","33.92","12.73","84        ","88        ","99        "
"台中電廠      ","2023/02/21","2.4329","16.42","31.96","11.6","33        ","30        ","50        "
"台中電廠      ","2023/02/22","2.421","19.27","38.89","14.14","33        ","27        ","41        "
"台中電廠      ","2023/02/23","2.5856","15.98","31.58","12.65","58        ","44        ","60        "
"台中電廠      ","2023/02/24","2.4684","16.96","34.57","12.76","28        ","21        ","35        "
"台中電廠      ","2023/02/25","2.0442","17.2","34.49","12.68","54        ","63        ","83        "
"台中電廠      ","2023/02/26","2.0769","13.87","34.13","12.63","33        ","32        ","45        "
"台中電廠      ","2023/02/27","1.6639","16.48","32.76","12.61","25        ","29        ","31        "
"台中電廠      ","2023/02/28","1.6074","15.5","33.18","12.87","102       ","106       ","95        "
"台中電廠      ","2023/03/01","2.0313","15.43","30.7","12.77","92        ","72        ","80        "
"台中電廠      ","2023/03/02","1.8584","17.01","32.24","12.85","95        ","104       ","113       "
"台中電廠      ","2023/03/03","2.0452","14.57","32.34","12.79","53        ","43        ","56        "
"台中電廠      ","2023/03/04","2.0773","9.89","30.36","12.69","61        ","46        ","48        "
"台中電廠      ","2023/03/05","2.0067","16.73","35.28","12.67","59        ","54        ","57        "
"台中電廠      ","2023/03/06","2.3375","15.89","33.93","13.08","77        ","75        ","61        "
"台中電廠      ","2023/03/07","2.413","9.92","34.75","12.98","93        ","97        ","92        "
"台中電廠      ","2023/03/08","2.3255","15.94","35.13","12.57","102       ","98        ","110       "
"台中電廠      ","2023/03/09","2.1765","15.58","34.98","12.58","153       ","153       ","151       "
"台中電廠      ","2023/03/10","2.1724","16.36","34.13","12.66","104       ","94        ","98        "
"台中電廠      ","2023/03/11","1.9378","14.24","33.69","12.61","83        ","70        ","112       "
"台中電廠      ","2023/03/12","1.8269","15.25","33.41","14.17","110       ","106       ","113       "
"台中電廠      ","2023/03/13","1.9709","15.77","34.42","13.45","48        ","41        ","55        "
"台中電廠      ","2023/03/14","2.0329","14.41","34.28","13.56","44        ","36        ","44        "
"台中電廠      ","2023/03/15","2.1168","18.59","33.55","12.66","81        ","63        ","74        "
"台中電廠      ","2023/03/16","2.5114","13.99","34.19","12.73","111       ","87        ","108       "
"台中電廠      ","2023/03/17","2.3749","15.2","33.92","12.96","92        ","77        ","86        "
"台中電廠      ","2023/03/18","1.8624","15.17","34.11","12.69","22        ","22        ","24        "
"台中電廠      ","2023/03/19","1.9231","17.44","33.34","12.68","15        ","9         ","10        "
"台中電廠      ","2023/03/20","2.5056","13.47","33.6","13.45","26        ","          ","27        "
"台中電廠      ","2023/03/21","3.2497","15.54","33.86","12.73","90        ","65        ","93        "
"台中電廠      ","2023/03/22","3.2089","14.12","32.75","12.61","60        ","45        ","63        "
"台中電廠      ","2023/03/23","2.932","12.52","32.29","11.96","49        ","33        ","45        "
"台中電廠      ","2023/03/24","3.5026","14.53","34.14","13.31","71        ","60        ","76        "
"台中電廠      ","2023/03/25","2.463","11.71","33.46","12.6","70        ","45        ","58        "
"台中電廠      ","2023/03/26","2.6198","18.42","35.12","12.44","32        ","-         ","35        "
"台中電廠      ","2023/03/27","2.6204","11.79","29.74","13.56","25        ","27        ","38        "
"台中電廠      ","2023/03/28","2.5995","10.34","27.36","12.27","45        ","31        ","34        "
"台中電廠      ","2023/03/29","2.9515","13.2","33.75","12.43","47        ","32        ","40        "
"台中電廠      ","2023/03/30","2.7506","13.85","34.76","12.22","39        ","28        ","43        "
"台中電廠      ","2023/03/31","3.1646","12.83","27.58","14.38","52        ","38        ","36        "
"台中電廠      ","2023/04/01","3.502","15.42","31.11","12.73","-         ","43        ","57        "
"台中電廠      ","2023/04/02","2.6383","18.21","33.12","12.26","55        ","62        ","76        "
"台中電廠      ","2023/04/03","2.8199","18.82","32.82","12.38","88        ","78        ","81        "
"台中電廠      ","2023/04/04","2.8853","15.55","32.97","12.38","118       ","120       ","97        "
"台中電廠      ","2023/04/05","3.0176","14.6","32.75","12.34","90        ","80        ","88        "
"台中電廠      ","2023/04/06","4.0579","16.66","37.65","13.34","78        ","57        ","76        "
"台中電廠      ","2023/04/07","3.491","19.7","35.35","12.35","34        ","23        ","34        "
"台中電廠      ","2023/04/08","2.6089","17.84","34.11","12.37","95        ","110       ","102       "
"台中電廠      ","2023/04/09","2.8526","14.73","35.05","12.36","79        ","55        ","54        "
"台中電廠      ","2023/04/10","3.4865","17.79","36.24","12.33","51        ","60        ","59        "
"台中電廠      ","2023/04/11","4.0928","18.84","37.01","12.37","68        ","62        ","76        "
"台中電廠      ","2023/04/12","4.7548","14.12","37.36","12.88","62        ","54        ","71        "
"台中電廠      ","2023/04/13","3.9897","15.46","35.42","12.44","100       ","88        ","113       "
"台中電廠      ","2023/04/14","4.4661","21.46","38.03","12.66","118       ","124       ","126       "
"台中電廠      ","2023/04/15","4.451","12.84","37.49","12.63","76        ","75        ","91        "
"台中電廠      ","2023/04/16","3.9953","13.49","37.41","12.23","66        ","71        ","81        "
"台中電廠      ","2023/04/17","4.3729","17.72","36.92","12.37","99        ","93        ","99        "
"台中電廠      ","2023/04/18","4.4597","20.26","38.45","12.63","96        ","93        ","95        "
"台中電廠      ","2023/04/19","4.4633","20.02","39.03","13.18","91        ","61        ","65        "
"台中電廠      ","2023/04/20","5.1565","18.46","38.06","13.7","47        ","36        ","45        "
"台中電廠      ","2023/04/21","5.3994","15.28","37.9","12.63","57        ","26        ","46        "
"台中電廠      ","2023/04/22","4.1137","12.55","37.65","12.62","-         ","64        ","70        "
"台中電廠      ","2023/04/23","4.1105","12.27","35.76","12.43","85        ","78        ","77        "
"台中電廠      ","2023/04/24","4.9006","17.98","39.72","13.36","94        ","93        ","89        "
"台中電廠      ","2023/04/25","3.9011","18.33","38.29","11.71","61        ","43        ","53        "
"台中電廠      ","2023/04/26","3.6356","14.82","37.41","12.33","46        ","31        ","35        "
"台中電廠      ","2023/04/27","3.4334","15.01","36.34","12.28","58        ","52        ","53        "
"台中電廠      ","2023/04/28","3.9711","16.28","37.28","12.33","71        ","60        ","71        "
"台中電廠      ","2023/04/29","3.701","17.97","37.45","12.28","75        ","89        ","90        "
"台中電廠      ","2023/04/30","3.0026","13.56","31.99","12.23","72        ","56        ","64        "
"台中電廠      ","2023/05/01","2.3145","12.56","37.54","12.31","49        ","52        ","46        "
"台中電廠      ","2023/05/02","3.3834","16.92","37.92","12.4","68        ","60        ","61        "
"台中電廠      ","2023/05/03","3.8923","11.82","36","12.5","108       ","78        ","83        "
"台中電廠      ","2023/05/04","3.4353","13.17","34.29","12.38","129       ","84        ","105       "
"台中電廠      ","2023/05/05","3.8176","13.14","36.84","12.43","61        ","49        ","56        "
"台中電廠      ","2023/05/06","3.1415","13.14","36.83","12.3","48        ","32        ","40        "
"台中電廠      ","2023/05/07","3.3877","19.62","34.91","12.78","31        ","16        ","22        "
"台中電廠      ","2023/05/08","2.6303","15.36","34.85","12.54","31        ","12        ","25        "
"台中電廠      ","2023/05/09","2.5992","16.62","33.16","12.59","37        ","23        ","34        "
"台中電廠      ","2023/05/10","2.4157","21.14","36.55","12.76","67        ","50        ","49        "
"台中電廠      ","2023/05/11","3.4755","15.84","34","12.57","91        ","71        ","71        "
"台中電廠      ","2023/05/12","3.7417","18.36","37.75","12.5","88        ","68        ","78        "
"台中電廠      ","2023/05/13","3.0651","17.46","35.89","12.32","64        ","47        ","59        "
"台中電廠      ","2023/05/14","2.9015","11.36","35.36","12.31","-         ","58        ","69        "
"台中電廠      ","2023/05/15","3.3894","19.03","34.92","12.25","73        ","70        ","79        "
"台中電廠      ","2023/05/16","3.3988","15.91","36.43","12.24","117       ","109       ","132       "
"台中電廠      ","2023/05/17","3.6671","14.98","33.63","12.21","-         ","81        ","100       "
"台中電廠      ","2023/05/18","3.9925","16.07","36.47","12.49","46        ","20        ","39        "
"台中電廠      ","2023/05/19","3.9153","15.07","37.35","12.35","55        ","61        ","67        "
"台中電廠      ","2023/05/20","3.558","20.31","34.96","12.5","37        ","38        ","44        "
"台中電廠      ","2023/05/21","3.4393","17.25","35.23","12.11","35        ","41        ","62        "
